---
Mod (Link) |Description |Downloads |Latest Supported Version
**[Uncraftables Recipes](https://www.curseforge.com/minecraft/mc-mods/uncraftables-recipes)**|Crafting recipes for uncraftable items.|4,598|1.16.1
**[Underpowered](https://www.curseforge.com/minecraft/mc-mods/underpowered)**|Tech mod centered around creating and using a powerful resource called Unobtainium|162|1.15.2
**[Unearthed [Fabric]](https://www.curseforge.com/minecraft/mc-mods/unearthed-fabric)**|A mod that makes exploring underground interesting. Adds 15 new rocks!|72|1.16.2
**[Unfortunately](https://www.curseforge.com/minecraft/mc-mods/unfortunately)**|Peer into the future.|374|1.15.2
**[Unknown Recipe Type Silencer](https://www.curseforge.com/minecraft/mc-mods/unknown-recipe-type-silencer)**|silence unknown recipe type alert in console|0|1.16.1
**[Unlimited Dragon Eggs (Fabric)](https://www.curseforge.com/minecraft/mc-mods/unlimited-dragon-eggs-fabric)**|Get a dragon egg from every ender dragon.|135|1.16.1
**[Unlimiter](https://www.curseforge.com/minecraft/mc-mods/unlimiter)**|Removes limits on the game's entity attributes|3,524|1.16-Snapshot
**[Unlit Torches (Fabric)](https://www.curseforge.com/minecraft/mc-mods/unlit-torches)**|Light the way, but now you have to the light the thing to light the way.|278|1.16-Snapshot
**[Unsuspicious Stew](https://www.curseforge.com/minecraft/mc-mods/unsuspicious-stew)**|Displays all Effects of a Suspicious Stew in the Tooltip and Hotbar|328|1.16.2
**[UrLostPajamas](https://www.curseforge.com/minecraft/mc-mods/urlostpajamas)**|Missing Nether Blocks|261|1.16.2
**[Useful Food](https://www.curseforge.com/minecraft/mc-mods/useful-food)**|Food will give you different status effect after eat it.|1,337|1.15.2
**[Useful Utilities](https://www.curseforge.com/minecraft/mc-mods/useful-utilities)**|A fabric mod that adds a number of useful utilities to the Options menu|686|1.16.2
**[UselessTutorial](https://www.curseforge.com/minecraft/mc-mods/uselesstutorial)**|Disables the useless tutorial popups!|254|1.15.2
**[Uwufier](https://www.curseforge.com/minecraft/mc-mods/uwufier)**|Uwufies text|1,469|1.15.1
**[ValarLib](https://www.curseforge.com/minecraft/mc-mods/valarlib)**|Modding library for mods created by Team Valar|511|1.14.3
**[VampireLib](https://www.curseforge.com/minecraft/mc-mods/vampirelib)**|Library mod for all Vampire Studios Fabric mods.|2,882|1.16.2
**[Vanilla Automated](https://www.curseforge.com/minecraft/mc-mods/vanilla-automated)**|Adds machines for automating grindy tasks!|5,163|1.16.2
**[Vanilla Enhanced](https://www.curseforge.com/minecraft/mc-mods/vanilla-enhanced)**|Enhancements and vanilla-esque additions such as new Tool, Weapon & Armor Materiels, Biomes, Trees, and more.|2,118|1.16.2
**[Vanilla Excavators](https://www.curseforge.com/minecraft/mc-mods/vanilla-excavators)**|Shovel alternative to Vanilla Hammers.|40,963|1.16.2
**[Vanilla Hammers](https://www.curseforge.com/minecraft/mc-mods/vanilla-hammers)**|Adds a bunch of new hammers to the game!|189,244|1.16.2
**[Vanilla Ingredients Cooking Expanded](https://www.curseforge.com/minecraft/mc-mods/vanilla-ingredients-cooking-expanded-work-in)**|More craftable foods using ingredients that are already in the vanilla game|561|1.16.2
**[Vanilla Music Extension](https://www.curseforge.com/minecraft/mc-mods/vanilla-music-extension)**|Brings new music to the world!|255|1.16.1
**[Vanilla Parts](https://www.curseforge.com/minecraft/mc-mods/vanilla-parts)**|Turn your ordinary blocks into multiparts!|11,084|1.16.1
**[Vanilla Plus Plus](https://www.curseforge.com/minecraft/mc-mods/vanilla-plus-plus)**|A Vanilla themed Minecraft mod|60|1.16.1
**[Vanilla Toolsets](https://www.curseforge.com/minecraft/mc-mods/vanilla-toolsets)**|Adds new armor & tools to the game.|36,960|1.16.2
**[Vanilla+ Biomes](https://www.curseforge.com/minecraft/mc-mods/vanilla-biomes)**|Adds 58 new biomes that improve and add variety to vanilla!|48,061|1.16-Snapshot
**[VanillaDeathChest (Fabric)](https://www.curseforge.com/minecraft/mc-mods/vanilladeathchest-fabric)**|Places chests (or shulker boxes) where players die that contain all of their items.|14,903|1.16.2
**[VanillaEndervators](https://www.curseforge.com/minecraft/mc-mods/vanillaendervators)**|Elevators (Endervators) for Minecraft that work with unmodded clients!|2,574|1.14.4
**[Vanillaful](https://www.curseforge.com/minecraft/mc-mods/vanillaful)**|An extension to vanilla gameplay and features|437|1.16.1
**[VariablePaxels](https://www.curseforge.com/minecraft/mc-mods/variablepaxels)**|The classic multitool, now on Fabric.|18,237|1.15.1
**[VarLight](https://www.curseforge.com/minecraft/mc-mods/varlight)**|Allows turning most Blocks into Light sources|986|1.16.1
**[VersionChanger](https://www.curseforge.com/minecraft/mc-mods/versionchanger)**|Change the displayed minecraft version|48|1.16.2
**[Vertical Hotbar](https://www.curseforge.com/minecraft/mc-mods/vertical-hotbar)**|A reimagining of the hotbar.|7|1.16.2
**[Vertical Redstone](https://www.curseforge.com/minecraft/mc-mods/vertical-redstone)**|Adds blocks for moving redstone vertically|13,021|1.15.2
**[Vertigo [Fabric]](https://www.curseforge.com/minecraft/mc-mods/fabric-vertigo)**|Save your life from fall damage!|198|1.15-Snapshot
**[ViaFabric](https://www.curseforge.com/minecraft/mc-mods/viafabric)**|Allow connecting to servers with different versions|1,142|1.16.2
**[Vibranium Ore](https://www.curseforge.com/minecraft/mc-mods/vibranium-ore)**|New ore!|1,044|1.14.4
**[Vignot](https://www.curseforge.com/minecraft/mc-mods/vignot)**|Removes the Vignette|152|1.14.4
**[Villager Hats](https://www.curseforge.com/minecraft/mc-mods/villager-hats)**|Villager Hats adds the villager hats as craftable  and wearable items|56,321|1.16.1
**[Villager Memory Tweaks (VMT) [FORGE/FABRIC]](https://www.curseforge.com/minecraft/mc-mods/villager-memory-tweaks-vmt)**|makes sure villagers find a job and where their meeting point is|33,078|1.15.2
**[VillagerFix](https://www.curseforge.com/minecraft/mc-mods/villagerfix)**|Aims to nerf the villagers mechanics introduced in the 1.14 Village and Pillage update!|208|1.16.2
**[Villagers follow Emeralds [Fabric]](https://www.curseforge.com/minecraft/mc-mods/villagers-follow-emeralds-fabric)**|Villagers will follow you if you're holding emerald blocks or emerald ore.|1,017|1.16.1
**[Visible Enchantments (Fabric)](https://www.curseforge.com/minecraft/mc-mods/visible-enchantments)**|A client-side mod for Fabric displaying icons on items depending on their enchantments|30|1.16.2
**[Vivatech](https://www.curseforge.com/minecraft/mc-mods/vivatech)**|Classic technologies, rethought!|2,369|1.14.4
**[VM Computers](https://www.curseforge.com/minecraft/mc-mods/vm-computers)**|Build a computer that actually works as a Virtual Machine!|10,182|1.15.2
**[VMulti](https://www.curseforge.com/minecraft/mc-mods/vmulti)**|API for additional beacon bases, conduit activators, and enchantment boosters|742|1.15.1
**[Void Fog [Fabric]](https://www.curseforge.com/minecraft/mc-mods/void-fog-fabric)**|Adds the void fog that was originally removed in Minecraft 1.8|1,771|1.16.2
**[VoxelMap](https://www.curseforge.com/minecraft/mc-mods/voxelmap)**|Minimap and Worldmap.  Have an overview of your surroundings, or view the entire world.  Create waypoints.|8,894,341|1.16.2
**[Vulcan's Revenge Plus+](https://www.curseforge.com/minecraft/mc-mods/vulcans-revenge-plus)**|Adds in mythical weapons and a fun challenge to get them|5,528|1.16.1
**[Walaryne's Fly Mod](https://www.curseforge.com/minecraft/mc-mods/walarynes-flymod)**|Adds a simple command for flight.|5,352|1.15.2
**[Wall-Jump! [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/wall-jump-fabric)**|Jump from wall to wall! Wall jump, double jump, speed jump, fence jump, etc. |7,332|1.16.1
**[Wandering Trader on a Stick](https://www.curseforge.com/minecraft/mc-mods/wandering-trader-on-a-stick)**|When you want to control your llamas, use the Wandering Trader on a Stick|83|1.16.1
**[Wandering Tradesmen](https://www.curseforge.com/minecraft/mc-mods/wandering-tradesmen)**|Adds customizable wandering traders using LibCD|363|1.15.2
**[Ward Blocks [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/ward-blocks-fabric)**|Provides various area-effect blocks as loot|3,579|1.16.2
**[Warp Mod](https://www.curseforge.com/minecraft/mc-mods/warp)**|Adds /warp /setwarp|558|1.16.2
**[Washing Machine](https://www.curseforge.com/minecraft/mc-mods/washing-machine)**|Not a Tumble Dryer clone|1|1.16.2
**[Water Erosion](https://www.curseforge.com/minecraft/mc-mods/water-erosion)**|Water erodes the land creating streams/waterfalls producing gravel, sand, and clay (Forge & Fabric)|22,855|1.16.2
**[Watered Down](https://www.curseforge.com/minecraft/mc-mods/watered-down)**|Adds waterlogging to many blocks.|1,020|1.14-Snapshot
**[Watson](https://www.curseforge.com/minecraft/mc-mods/watson)**|Updated Watson that displays LogBlock and CoreProtect query results in 3D.|993|1.16.2
**[WaveAway (Fabric)](https://www.curseforge.com/minecraft/mc-mods/waveaway-fabric)**|Wave at players, point at blocks without attacking.|34|1.16.2
**[WAYLA](https://www.curseforge.com/minecraft/mc-mods/wayla)**|What Are You Looking At. A 1.14 replacement for WAILA.|2,467|1.14-Snapshot
**[WayMoreOres](https://www.curseforge.com/minecraft/mc-mods/waymoreores)**|More ores added to minecraft!|886|1.16.2
**[Wendigoism](https://www.curseforge.com/minecraft/mc-mods/wendigoism)**|A remake of the original Cannibalism mod|20,376|1.16.2
**[WhatsInTheBoxAPI](https://www.curseforge.com/minecraft/mc-mods/whatsintheboxapi)**|Basic API for sharing loot table information from server to client|10|1.15-Snapshot
**[Where Is It](https://www.curseforge.com/minecraft/mc-mods/where-is-it)**|Find items in nearby inventories.|26,066|1.16.2
**[While We Wait](https://www.curseforge.com/minecraft/mc-mods/whilewewait)**|Just a little something while you wait|2,192|1.14.1
**[Whiplash: Magic Dungeons [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/whiplash-magic-dungeons-fabric)**|A dungeon mod for fabric, with elemental damage|760|1.16.1
**[White Glowstone](https://www.curseforge.com/minecraft/mc-mods/white-glowstone)**|A simple mod that adds white glowstone to minecraft.|109|1.16.1
**[White Rabbit](https://www.curseforge.com/minecraft/mc-mods/white-rabbit)**|Food and drink that changes the size of the user|364|1.16.2
**[WI Zoom](https://www.curseforge.com/minecraft/mc-mods/wi-zoom)**|The zoom from the Wurst Client as a standalone mod.|27,383|1.16.2
**[Wild Explorer](https://www.curseforge.com/minecraft/mc-mods/wild-explorer)**|Fancy and simplistic biomes and structures!|192|1.16
**[Wild World](https://www.curseforge.com/minecraft/mc-mods/wild-world)**|Adds decorative generation improving the look of nature and caves.|64,410|1.16.2
**[Window Title Changer](https://www.curseforge.com/minecraft/mc-mods/window-title-changer)**|Changes Window Title|19,604|1.16.2
**[Window Title Changer (Fabric)](https://www.curseforge.com/minecraft/mc-mods/fabric-title-changer)**|A simple Fabric mod that allows you to customize the text that appears in the title window of Minecraft.|5,701|1.16.1
**[Window Wonders](https://www.curseforge.com/minecraft/mc-mods/winwonders)**|Persistent game window size and position|8,580|1.16.2
**[Winged](https://www.curseforge.com/minecraft/mc-mods/winged)**|Quit using Elytras!|58,340|1.16.2
**[Wishing for Sunshine (Fabric)](https://www.curseforge.com/minecraft/mc-mods/wishing-for-sunshine-fabric)**|Adds a Wishing Well that allows you to change the weather or the time of day by throwing in items defined by tags!|109|1.16.2
**[Wishing Well](https://www.curseforge.com/minecraft/mc-mods/wishing-well)**|Offer up a Gold Nugget to a Wishing Well and receive a blessing!|0|1.16.2
**[WIT (What Is That)](https://www.curseforge.com/minecraft/mc-mods/wit-what-is-that)**|Displays information about things you are looking at.|358,984|1.14-Snapshot
**[Wither Cage Fix](https://www.curseforge.com/minecraft/mc-mods/wither-cage-fix)**|Fixes vanilla bug where withers forget their targets. Also adds a gamerule: 'allowBlueWitherSkulls'. |8|1.16.2
**[Wither Skeleton Totem](https://www.curseforge.com/minecraft/mc-mods/wither-totem)**|Makes grinding for mob drops more interesting|11,498|1.16.2
**[Wolves With Armor](https://www.curseforge.com/minecraft/mc-mods/wolves-with-armor)**|Wolves With Armor adds special armor items for wolves (and a few extra utilities) that keep them nice and safe.|41,854|1.16.2
**[Wood Floor [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/wood-floor)**|Wood flooring (like carpet .. but its wood), and nothing else.|57|1.15.2
**[Woodcutter](https://www.curseforge.com/minecraft/mc-mods/woodcutter)**|stonecutter, meet woodcutter|758|1.16.1
**[Wooden Hoppers](https://www.curseforge.com/minecraft/mc-mods/wooden-hoppers)**|Adds an early-game hopper alternative to Minecraft.|0|1.16.2
**[Woods and Mires](https://www.curseforge.com/minecraft/mc-mods/woods-and-mires)**|Adds some new biomes based on Nordic nature.|29,950|1.16.1
**[Woods Plus](https://www.curseforge.com/minecraft/mc-mods/woods-plus)**|Adds new variants of existing woods!|450|1.16.2
**[Wool](https://www.curseforge.com/minecraft/mc-mods/wool)**|Useful features which enhance the default Minecraft experience.|1,282|1.14-Snapshot
**[Wool Plates](https://www.curseforge.com/minecraft/mc-mods/wool-plates)**|Adds wool pressure plates.|155|1.16.1
**[Wool Temples](https://www.curseforge.com/minecraft/mc-mods/wool-temples)**|Changes the terracotta in desert temples back to wool.|61|1.15.2
**[Work Units: Cotton Energy API](https://www.curseforge.com/minecraft/mc-mods/work-units)**|capable, extensive energy for Fabric and Minecraft 1.14|1,061|1.14.4
**[Working Scheduler](https://www.curseforge.com/minecraft/mc-mods/working-scheduler)**|Scheduler Library|8,177|1.15
**[World Gen Tweaker](https://www.curseforge.com/minecraft/mc-mods/world-gen-tweaker)**|Customize your world's generation!|136|1.16-Snapshot
**[World Stripper Fabric](https://www.curseforge.com/minecraft/mc-mods/world-stripper-fabric)**|[NSFW] Strips away blocks to reveal the underground world gen. A must have tool for all map-makers, pack-makers or developers.|1,009|1.16.1
**[World Tooltips Fabric](https://www.curseforge.com/minecraft/mc-mods/world-tooltips-fabric)**|adds item tooltips to inworld items|202|1.16.1
**[WorldEdit](https://www.curseforge.com/minecraft/mc-mods/worldedit)**|In-game Minecraft map editor - build bigger things more quickly!|10,710,867|1.16.2
**[WorldPupa](https://www.curseforge.com/minecraft/mc-mods/worldpupa)**|Dimension (world) conversion from Spigot to Vanilla (Fabric)|6|1.15.1
**[WorldTime](https://www.curseforge.com/minecraft/mc-mods/worldtime)**|Show the current world time in the top left corner of the screen|5,364|1.16.2
**[WorldTime (and Location)](https://www.curseforge.com/minecraft/mc-mods/worldtime-and-location)**|Show the current world time and player location in the top left corner of the screen|0|1.15.2
**[Wrench Anything: Fabric](https://www.curseforge.com/minecraft/mc-mods/wrench-anything-fabric)**|A small wrench mod that works with Wrenchable.|9,053|1.16-Snapshot
**[Wrenchable: Fabric](https://www.curseforge.com/minecraft/mc-mods/wrenchable-fabric)**|A lightweight, JiJ-able wrench library which aims to make wrenches compatible between mods.|9,003|1.16.1
**[WynnTextReplacer](https://www.curseforge.com/minecraft/mc-mods/wynntextreplacer)**|Translate text of Wynncraft into your language!|1,180|1.14.4
**[X-radiation](https://www.curseforge.com/minecraft/mc-mods/xradiation)**|a mod that allows players to see through blocks (X-ray)|2,194|1.16.2
**[Xaero's Minimap](https://www.curseforge.com/minecraft/mc-mods/xaeros-minimap)**|Displays the nearby world terrain, players, mobs, entities in the corner of your screen. Lets you create waypoints which help you find the locations marked by you.|9,869,727|1.16.2
**[Xaero's Minimap (Fair-play Edition)](https://www.curseforge.com/minecraft/mc-mods/xaeros-minimap-fair-play-edition)**|Fair-play edition of the Xaero's Minimap mod, designed for fair PVP against players without a minimap.|344,404|1.16.2
**[Xaero's World Map](https://www.curseforge.com/minecraft/mc-mods/xaeros-world-map)**|Adds a fullscreen worldmap which shows you what you have explored in the world. Can work together with Xaero's Minimap.|3,805,981|1.16.2
**[XEnchant](https://www.curseforge.com/minecraft/mc-mods/xenchant)**|A mod for 1.15.X that improves the /enchant command.|1,875|1.16.1
